file,energy,hb,A,B,C,nat,plot2d_x,plot2d_y,plot3d_x,plot3d_y,plot3d_z,cluster,is_representative,rep_mode,param_method,param_eps,param_min_samples,param_silhouette,param_noise_frac,param_n_clusters,param_extent,param_post_split_silhouette,param_post_split_noise_frac,param_post_split_n_clusters,param_post_split_extent,param_w_rmsd,param_w_abc,param_max_rmsd_for_norm
individuo_10_39.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388159,-0.00521576,-0.01097084,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_11_23.xyz,-1028.41428693,-0.46619804,963.72269780,533.00660370,485.91443840,26,0.03468840,-0.00434706,0.00786852,-0.02285384,-0.03275387,1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_1349_11.xyz,-1028.41433746,-0.46133344,963.65380860,533.13164290,486.05966540,26,0.06208108,-0.00578255,0.00442132,-0.04228575,-0.05195920,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_15_40.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388270,-0.00521799,-0.01096911,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_1606_12.xyz,-1028.41433737,-0.46145995,963.63986270,533.12745720,486.04812030,26,0.06132701,-0.00452379,0.00478486,-0.04025781,-0.05288253,2,True,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_17_7.xyz,-1028.41433922,-0.46123870,963.63633000,533.13231690,486.05402800,26,0.06246224,-0.00450365,0.00473062,-0.04159258,-0.05318929,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_1_6.xyz,-1028.41433922,-0.46123870,963.63633000,533.13231690,486.05402800,26,0.06246224,-0.00450365,0.00515269,-0.04188418,-0.05299283,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2113_19.xyz,-1028.41428944,-0.46630400,963.72678470,533.00260420,485.91361210,26,0.03403112,-0.00438050,0.00916091,-0.02490813,-0.03057110,1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2160_35.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388237,-0.00521756,-0.01096940,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2320_8.xyz,-1028.41433922,-0.46123870,963.63633000,533.13231690,486.05402800,26,0.06246224,-0.00450365,0.00514972,-0.04115837,-0.05360674,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2496_0.xyz,-1028.41443726,-0.45014347,964.68003890,533.10437800,486.43596430,26,0.10296406,-0.07326252,-0.07042857,-0.06877158,-0.06424299,-1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2530_25.xyz,-1028.41423250,-0.46922509,963.78515070,532.92085120,485.83541550,26,0.01680327,-0.00458452,0.01106585,-0.01457019,-0.01660517,3,True,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2684_1.xyz,-1028.41443726,-0.45014347,964.68003890,533.10437800,486.43596430,26,0.10103393,-0.07510546,-0.08020099,-0.05952885,-0.01943528,-1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_2_10.xyz,-1028.41433746,-0.46133344,963.65380860,533.13164290,486.05966540,26,0.06208108,-0.00578255,0.00440677,-0.04221587,-0.05202233,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_3068_32.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388264,-0.00521808,-0.01096900,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_3240_4.xyz,-1028.41434544,-0.46047566,963.62413660,533.14848900,486.07404480,26,0.06621633,-0.00370894,0.00453024,-0.04442261,-0.05573096,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_3500_16.xyz,-1028.41433030,-0.46224462,963.66624270,533.11056690,486.03399350,26,0.05736419,-0.00658143,0.00384309,-0.03799529,-0.04934173,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_3646_33.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388173,-0.00521895,-0.01096783,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_3851_46.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388183,-0.00521757,-0.01096919,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_3_38.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388118,-0.00521912,-0.01096747,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_4119_34.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388143,-0.00521946,-0.01096724,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_4502_49.xyz,-1028.16992123,-0.50751435,961.13223700,531.89055160,484.40602920,26,-0.57266365,-0.56622615,0.58750954,0.15536939,0.52299329,-1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_4522_27.xyz,-1028.41422367,-0.46930051,963.79548010,532.92045780,485.83535550,26,0.01624201,-0.00527246,0.01053623,-0.01390213,-0.01633795,3,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5061_15.xyz,-1028.41433223,-0.46200245,963.66293560,533.11633140,486.04093400,26,0.05865006,-0.00645111,0.00453542,-0.03877124,-0.05047896,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5097_43.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388120,-0.00521610,-0.01097037,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5133_47.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388179,-0.00521925,-0.01096757,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5342_29.xyz,-1028.41421267,-0.47035311,963.80504680,532.87965820,485.79987410,26,0.00883979,-0.00477310,0.01248778,-0.00703056,-0.01307682,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5583_26.xyz,-1028.41422787,-0.46908524,963.79071650,532.92764410,485.84148700,26,0.01769658,-0.00525631,0.01036850,-0.01369042,-0.01853748,3,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5673_9.xyz,-1028.41433746,-0.46133344,963.65380860,533.13164290,486.05966540,26,0.06208108,-0.00578255,0.00425214,-0.04222430,-0.05198762,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5712_22.xyz,-1028.41428940,-0.46630599,963.72682780,533.00255820,485.91356450,26,0.03402072,-0.00437926,0.00894952,-0.02508364,-0.03035166,1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5951_2.xyz,-1028.41443220,-0.44967273,965.84545290,532.88065310,486.53690590,26,0.04059750,-0.16289409,-0.14885930,-0.04812112,-0.02535172,-1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_5_37.xyz,-1028.41420629,-0.47075375,963.81169410,532.86338800,485.78635120,26,0.00591017,-0.00377839,0.01388192,-0.00521576,-0.01097096,0,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_6688_13.xyz,-1028.41433286,-0.46198715,963.64825750,533.11552310,486.03380730,26,0.05862329,-0.00540546,0.00467172,-0.03807321,-0.05110532,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_7291_5.xyz,-1028.41434339,-0.46054614,963.64291130,533.14873800,486.08110550,26,0.06600226,-0.00502409,0.00410081,-0.04204633,-0.05711312,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_7561_18.xyz,-1028.41432963,-0.46232830,963.66735790,533.10857860,486.03160890,26,0.05692019,-0.00662700,0.00383565,-0.03837491,-0.04846276,2,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
individuo_7565_21.xyz,-1028.41428940,-0.46630599,963.72682780,533.00255820,485.91356450,26,0.03402072,-0.00437925,0.00818782,-0.02445017,-0.03069685,1,False,mds,dbscan-auto,0.00395095,3,0.90962639,0.10000000,4,0.00584482,0.90962639,0.10000000,4,0.00584482,0.50000000,0.50000000,0.49160861
