Generation,Avg. Fitness,MAX Fitness,MIN Fitness,Mutation rate,Crossover rate
0,-860.3746970324997,-859.8569852,-860.581915,0.6,0.6
1,-860.4107893300001,-859.9830565,-860.6216635,0.6127877161684506,0.5872122838315493
2,-860.4733844000002,-859.7586902,-860.6351029,0.6253654583909507,0.5746345416090493
3,-860.484376095,-860.1200691,-860.6306056,0.6375267004879374,0.5624732995120626
4,-860.4829957250001,-860.1187678,-860.6174404,0.6490717552003937,0.5509282447996062
5,-860.4808003775,-860.0674988,-860.6083292,0.6598110530491216,0.5401889469508784
6,-860.4406723349999,-859.9093404,-860.6181471,0.6695682550603486,0.5304317449396514
7,-860.4511987449999,-860.0822863,-860.6216925,0.6781831482468029,0.521816851753197
8,-860.4547754224999,-860.0995345,-860.6072685,0.6855142763005346,0.5144857236994653
9,-860.4396755475,-860.1180957,-860.6228474,0.6914412623015812,0.5085587376984188
10,-860.4526769500001,-860.1293856,-860.5867138,0.6958667853036661,0.5041332146963339
11,-860.4313468025002,-860.0467835,-860.5968471,0.698718178341445,0.501281821658555
12,-860.4381742250001,-859.9370674,-860.6204669,0.6999486216200688,0.5000513783799312
13,-860.4430237650001,-859.9829396,-860.6323944,0.6995379112949198,0.5004620887050801
14,-860.4587663225002,-860.1539186,-860.6218898,0.6974927912181823,0.5025072087818176
15,-860.4325344000002,-860.0612555,-860.6168559,0.693846842204976,0.5061531577950239
16,-860.4595790200001,-860.1027799,-860.5977196,0.6886599306373,0.5113400693626999
17,-860.4766059774998,-859.8778014,-860.6102645,0.6820172254596956,0.5179827745403044
18,-860.4323907675,-860.0430817,-860.5996328,0.6740277997075316,0.5259722002924684
19,-860.4949801075002,-860.2627521,-860.6225241,0.6648228395307788,0.5351771604692211
20,-860.4903493025,-860.0273093,-860.6291818,0.6545534901210549,0.545446509878945
21,-860.458070305,-860.0606294,-860.6084543,0.6433883739117559,0.5566116260882441
22,-860.4899255249999,-860.2477829,-860.6272219,0.6315108218023621,0.5684891781976379
23,-860.4708619349998,-860.085462,-860.6124257,0.6191158628701372,0.5808841371298628
24,-860.4654734949997,-860.1119882,-860.6181004,0.6064070219980713,0.5935929780019287
25,-860.44748526,-860.0376217,-860.6141729,0.5935929780019287,0.6064070219980713
26,-860.5142636725001,-860.2487404,-860.6376294,0.5808841371298628,0.6191158628701372
27,-860.4909600149998,-859.9691384,-860.631695,0.568489178197638,0.631510821802362
28,-860.4644270199999,-860.1604252,-860.6291731,0.5566116260882442,0.6433883739117557
29,-860.4899482049999,-860.0233723,-860.6291731,0.5454465098789452,0.6545534901210548
30,-860.4960683600002,-860.1658806,-860.6234208,0.5351771604692211,0.6648228395307788
31,-860.5021555250001,-860.114662,-860.6307204,0.5259722002924685,0.6740277997075315
32,-860.5359681925001,-860.3211507,-860.6246558,0.5179827745403044,0.6820172254596956
33,-860.4854935999998,-860.139721,-860.6381891,0.5113400693626999,0.6886599306373
34,-860.5244403075,-859.9694533,-860.6358323,0.506153157795024,0.6938468422049759
35,-860.4948540299999,-860.2058612,-860.6335429,0.5025072087818176,0.6974927912181823
36,-860.4737618949999,-860.0329227,-860.6222133,0.5004620887050801,0.6995379112949198
37,-860.4801416225,-859.7139302,-860.627161,0.5000513783799312,0.6999486216200688
38,-860.5041302225002,-860.0683228,-860.6359236,0.501281821658555,0.698718178341445
39,-860.5249961075002,-860.2579121,-860.6339344,0.5041332146963339,0.6958667853036661
40,-860.5024678975,-860.1467524,-860.6306082,0.5085587376984186,0.6914412623015813
41,-860.5033410850001,-860.2199043,-860.6371099,0.5144857236994653,0.6855142763005346
42,-860.492657865,-860.0354954,-860.6396979,0.5218168517531969,0.678183148246803
43,-860.5005670950001,-859.9201687,-860.6308599,0.5304317449396513,0.6695682550603487
44,-860.51812147,-860.1396716,-860.6292247,0.5401889469508784,0.6598110530491216
45,-860.5282319275,-860.3251556,-860.6383205,0.5509282447996061,0.6490717552003938
46,-860.4930241674999,-859.9969452,-860.62894,0.5624732995120625,0.6375267004879375
47,-860.4882014275001,-860.1980661,-860.624802,0.5746345416090491,0.6253654583909508
48,-860.4576935375001,-860.1005328,-860.6155393,0.5872122838315493,0.6127877161684506
49,-860.4793479724998,-860.0869874,-860.6344508,0.6,0.6
