Generation,Avg. Fitness,MAX Fitness,MIN Fitness,Mutation rate,Crossover rate
0,-279.0855334775,-279.0764819,-279.0943047,0.6,0.6
1,-279.08688608750003,-279.078952,-279.0943047,0.6127877161684506,0.5872122838315493
2,-279.08702560625,-279.0716919,-279.0949864,0.6253654583909507,0.5746345416090493
3,-279.08740689624995,-279.0760917,-279.0949864,0.6375267004879374,0.5624732995120626
4,-279.08728947749995,-279.0737348,-279.0961137,0.6490717552003937,0.5509282447996062
5,-279.0873767874999,-279.0767695,-279.0943882,0.6598110530491216,0.5401889469508784
6,-279.08789496,-279.0757335,-279.0965471,0.6695682550603486,0.5304317449396514
7,-279.0876161262499,-279.0770114,-279.0965471,0.6781831482468029,0.521816851753197
8,-279.0871888574999,-279.076482,-279.0953647,0.6855142763005346,0.5144857236994653
9,-279.0873725625001,-279.0750829,-279.0952011,0.6914412623015812,0.5085587376984188
10,-279.08747211750006,-279.0755996,-279.0968277,0.6958667853036661,0.5041332146963339
11,-279.08669094375006,-279.072769,-279.0965259,0.698718178341445,0.501281821658555
12,-279.0869272399999,-279.0750776,-279.0949202,0.6999486216200688,0.5000513783799312
13,-279.08747527,-279.0746258,-279.097571,0.6995379112949198,0.5004620887050801
14,-279.0868410999999,-279.0758061,-279.096423,0.6974927912181823,0.5025072087818176
15,-279.08676104999995,-279.076683,-279.0948935,0.693846842204976,0.5061531577950239
16,-279.0863205112501,-279.0728829,-279.0938228,0.6886599306373,0.5113400693626999
17,-279.08661874999996,-279.0706826,-279.0962431,0.6820172254596956,0.5179827745403044
18,-279.08629025125,-279.0738142,-279.0967826,0.6740277997075316,0.5259722002924684
19,-279.08645820874995,-279.0733174,-279.0951985,0.6648228395307788,0.5351771604692211
20,-279.0874838149999,-279.0763791,-279.0948765,0.6545534901210549,0.545446509878945
21,-279.08716276749993,-279.0750612,-279.0963261,0.6433883739117559,0.5566116260882441
22,-279.08732567875,-279.0711269,-279.0970095,0.6315108218023621,0.5684891781976379
23,-279.0880856099999,-279.0755039,-279.0964713,0.6191158628701372,0.5808841371298628
24,-279.0889841250001,-279.0781923,-279.096401,0.6064070219980713,0.5935929780019287
25,-279.0882468000001,-279.0764224,-279.096812,0.5935929780019287,0.6064070219980713
26,-279.0879072199999,-279.0728564,-279.0966736,0.5808841371298628,0.6191158628701372
27,-279.0885622075001,-279.0738801,-279.0959218,0.568489178197638,0.631510821802362
28,-279.08774877625007,-279.0733908,-279.0963359,0.5566116260882442,0.6433883739117557
29,-279.0887742325,-279.0789804,-279.0970419,0.5454465098789452,0.6545534901210548
30,-279.0885342612502,-279.0736431,-279.0965326,0.5351771604692211,0.6648228395307788
31,-279.08844242374994,-279.0782681,-279.0958397,0.5259722002924685,0.6740277997075315
32,-279.08899913999994,-279.0772088,-279.0974815,0.5179827745403044,0.6820172254596956
33,-279.08924998374994,-279.0773648,-279.0974815,0.5113400693626999,0.6886599306373
34,-279.08910493749994,-279.0747901,-279.0967168,0.506153157795024,0.6938468422049759
35,-279.088856765,-279.0790865,-279.0970585,0.5025072087818176,0.6974927912181823
36,-279.08904249625004,-279.0781826,-279.0961592,0.5004620887050801,0.6995379112949198
37,-279.08998508,-279.0773138,-279.0973526,0.5000513783799312,0.6999486216200688
38,-279.09050463625005,-279.0783349,-279.0972539,0.501281821658555,0.698718178341445
39,-279.0897294575001,-279.0742214,-279.0975675,0.5041332146963339,0.6958667853036661
40,-279.08996179875,-279.078091,-279.0975897,0.5085587376984186,0.6914412623015813
41,-279.0907129787501,-279.0778533,-279.0975897,0.5144857236994653,0.6855142763005346
42,-279.09056145125,-279.0806065,-279.0974468,0.5218168517531969,0.678183148246803
43,-279.08821562249994,-279.0762205,-279.0964356,0.5304317449396513,0.6695682550603487
44,-279.08884553249993,-279.0772454,-279.0972752,0.5401889469508784,0.6598110530491216
45,-279.08883557124994,-279.0758923,-279.095481,0.5509282447996061,0.6490717552003938
46,-279.0890707475,-279.0754079,-279.0965657,0.5624732995120625,0.6375267004879375
47,-279.08896898125005,-279.0716427,-279.0961885,0.5746345416090491,0.6253654583909508
48,-279.08859267249994,-279.0749435,-279.0961885,0.5872122838315493,0.6127877161684506
49,-279.08834689874993,-279.0759426,-279.0961885,0.6,0.6
