Generation,Avg. Fitness,MAX Fitness,MIN Fitness,Mutation rate,Crossover rate
0,-860.6173775950003,-860.3398428,-860.6562362,0.6,0.6
1,-860.6324704450004,-860.4314003,-860.6529881,0.6127877161684506,0.5872122838315493
2,-860.6264778962499,-860.3497651,-860.6543587,0.6253654583909507,0.5746345416090493
3,-860.6314636925001,-860.3375433,-860.653134,0.6375267004879374,0.5624732995120626
4,-860.6031136887499,-860.1726192,-860.6539946,0.6490717552003937,0.5509282447996062
5,-860.6209721462503,-860.2146519,-860.6537834,0.6598110530491216,0.5401889469508784
6,inf,inf,-860.6532134,0.6695682550603486,0.5304317449396514
7,-860.62796638375,-860.2841541,-860.655234,0.6781831482468029,0.521816851753197
8,-860.6312500762499,-860.4140725,-860.656699,0.6855142763005346,0.5144857236994653
9,-860.6172413650002,-860.2501077,-860.654994,0.6914412623015812,0.5085587376984188
10,-860.6358442274999,-860.3568581,-860.6554067,0.6958667853036661,0.5041332146963339
11,-860.628617565,-860.3163251,-860.6539993,0.698718178341445,0.501281821658555
12,-860.6054424524998,-860.3093512,-860.6522719,0.6999486216200688,0.5000513783799312
13,-860.6225989574999,-860.2253787,-860.6537723,0.6995379112949198,0.5004620887050801
14,-860.62641737625,-860.3500186,-860.6524816,0.6974927912181823,0.5025072087818176
15,-860.6128882187501,-859.710834,-860.654605,0.693846842204976,0.5061531577950239
16,-860.63388891125,-860.3691069,-860.6547368,0.6886599306373,0.5113400693626999
17,-860.628861485,-860.3428131,-860.6533431,0.6820172254596956,0.5179827745403044
18,inf,inf,-860.6546289,0.6740277997075316,0.5259722002924684
19,-860.6206481275001,-860.1938507,-860.6538444,0.6648228395307788,0.5351771604692211
20,-860.6098234162498,-859.5799877,-860.6537793,0.6545534901210549,0.545446509878945
21,-860.6197670199999,-860.2895186,-860.6536644,0.6433883739117559,0.5566116260882441
22,-860.6159117212499,-860.2466324,-860.6540967,0.6315108218023621,0.5684891781976379
23,-860.6119604862499,-859.3803911,-860.653577,0.6191158628701372,0.5808841371298628
24,-860.6314007949998,-860.2596945,-860.6529548,0.6064070219980713,0.5935929780019287
25,-860.6289568887502,-860.2235358,-860.6539699,0.5935929780019287,0.6064070219980713
26,-860.6303355624999,-860.3921124,-860.6539027,0.5808841371298628,0.6191158628701372
27,-860.6312913600002,-860.3635688,-860.6554717,0.568489178197638,0.631510821802362
28,-860.6320748587501,-860.3482754,-860.6559768,0.5566116260882442,0.6433883739117557
29,inf,inf,-860.6554201,0.5454465098789452,0.6545534901210548
30,-860.6373969875,-860.2351408,-860.6548047,0.5351771604692211,0.6648228395307788
31,-860.6323574374999,-860.2342221,-860.6557031,0.5259722002924685,0.6740277997075315
32,-860.6337319424998,-860.4094671,-860.654987,0.5179827745403044,0.6820172254596956
33,-860.6270183562503,-860.3463792,-860.6537325,0.5113400693626999,0.6886599306373
34,-860.6369234199999,-860.4808453,-860.6556719,0.506153157795024,0.6938468422049759
35,-860.6232285624998,-860.3433291,-860.6561537,0.5025072087818176,0.6974927912181823
36,-860.6253088550002,-860.2540289,-860.6560653,0.5004620887050801,0.6995379112949198
37,-860.6330162612496,-860.3090909,-860.6545316,0.5000513783799312,0.6999486216200688
38,-860.6332758924998,-860.3010243,-860.6556786,0.501281821658555,0.698718178341445
39,-860.6217947374998,-860.1860144,-860.6559734,0.5041332146963339,0.6958667853036661
40,-860.6454466150001,-860.6019178,-860.6562244,0.5085587376984186,0.6914412623015813
41,-860.62485185125,-860.2552959,-860.6540132,0.5144857236994653,0.6855142763005346
42,-860.6280544125,-860.0884854,-860.6551731,0.5218168517531969,0.678183148246803
43,-860.6290860187501,-860.2144433,-860.6551807,0.5304317449396513,0.6695682550603487
44,-860.6345708649999,-860.3653203,-860.653901,0.5401889469508784,0.6598110530491216
45,-860.6343174049998,-860.3387309,-860.6550482,0.5509282447996061,0.6490717552003938
46,-860.6302265649998,-860.3575566,-860.6553027,0.5624732995120625,0.6375267004879375
47,-860.6379141825,-860.3998429,-860.6562444,0.5746345416090491,0.6253654583909508
48,-860.6364649012501,-860.3765681,-860.6554722,0.5872122838315493,0.6127877161684506
49,-860.6353679012503,-860.3618971,-860.6535273,0.6,0.6
